epoch,batch,loss,accuracy,elapsed_time
1,1,2.3265,15.62,162.6
1,2,2.3114,12.50,165.1
1,3,2.3257,17.19,166.3
1,4,2.2357,20.31,167.6
1,5,2.2209,15.62,169.1
1,6,2.1585,21.88,170.4
1,7,2.1940,15.62,171.5
1,8,2.0885,26.56,173.3
1,9,2.1679,28.12,174.7
1,10,2.0470,23.44,175.8
1,11,2.0457,25.00,177.3
1,12,2.1089,18.75,178.1
1,13,2.0684,23.44,179.1
1,14,2.0092,23.44,180.6
1,15,2.1767,23.44,181.6
1,16,1.9632,28.12,183.1
1,17,1.9391,25.00,184.1
1,18,1.8364,40.62,185.6
1,19,1.8152,29.69,186.4
1,20,2.1170,17.19,187.5
1,21,2.0237,32.81,188.7
1,22,1.7224,37.50,189.7
1,23,1.6790,35.94,190.6
1,24,2.0595,23.44,191.6
1,25,1.9368,18.75,192.9
1,26,1.7794,32.81,194.1
1,27,2.0859,23.44,195.9
1,28,2.2782,20.31,197.0
1,29,2.0426,26.56,198.1
1,30,1.9005,25.00,198.9
1,31,2.0000,35.94,200.8
1,32,2.0913,29.69,202.1
1,33,2.0000,23.44,203.2
1,34,2.2308,17.19,204.3
1,35,1.7693,35.94,205.3
1,36,1.8606,32.81,207.4
1,37,1.8469,28.12,208.3
1,38,1.7607,42.19,209.3
1,39,2.0156,28.12,210.4
1,40,1.7472,35.94,211.9
1,41,1.8622,34.38,212.9
1,42,1.6302,40.62,214.4
1,43,1.7419,35.94,215.5
1,44,1.9053,34.38,216.8
1,45,1.7844,37.50,218.6
1,46,1.5954,39.06,219.5
1,47,1.8065,31.25,220.4
1,48,1.8069,35.94,221.4
1,49,1.8394,32.81,222.5
1,50,1.6618,43.75,223.7
1,51,1.7638,34.38,225.3
1,52,1.8428,26.56,226.6
1,53,1.6568,42.19,227.4
1,54,1.8679,32.81,228.5
1,55,1.7926,39.06,229.3
1,56,1.6554,40.62,231.2
1,57,1.6590,37.50,232.2
1,58,1.5888,42.19,233.5
1,59,1.6054,35.94,234.3
